question,gold_answer,predicted_answer,retrieved_doc_names,retrieved_pages,hit_at_k,grounded_or_not,top_score,overlap_pred_vs_gold,overlap_pred_vs_context,semantic_similarity_pred_vs_gold,bertscore_precision,bertscore_recall,bertscore_f1,notes,label
What is the grading policy for this course?,"Grades are based on assignments, a midterm, a final exam, and participation; exact weights are listed in the syllabus.","The grading policy for this course is as follows:

**Grading Breakdown**
*   Assignments: 40%
*   In-class Quizzes: 25%
*   Course Project: 35%

**Grading Scale**
*   97–100 = A+
*   94–96.99 = A
*   90–93.99 = A-
*   87–89.99 = B+
*   83–86.99 = B
*   80–82.99 = B-
*   77–79.999 = C+
*   73–76.99 = C
*   70–72.99 = C-
*   67–69.999 = D+
*   63–66.99 = D
*   60–62.99 = D-
*   59.99 and below = F

**Policies**
*   **Rounding:** Fractional values are rounded automatically. Portions ending in .0 through .4 are rounded down, and .5 through .9 are rounded up. No further grade adjustments are made.
*   **Early Submission:** Assignments submitted early receive 1% extra credit per day, up to a maximum of 5%, with the final score capped at 100.
*   **Curving:** The instructor reserves the right to curve grades at their discretion based on class performance, ensuring that a student's grade will not be reduced as a result.

[CSE_434___CSE_534_Syllabus.pdf p.2-7]","CSE_434___CSE_534_Syllabus.pdf, CSE_434___CSE_534_Syllabus.pdf, CSE_434___CSE_534_Syllabus.pdf, CSE_434___CSE_534_Syllabus.pdf","2-7, 2-7, 2-7, 2-7",True,True,0.7561,0.11,0.308,0.5287,0.6037,0.7889,0.684,auto-labeled by reports/run_full_evaluation.py - review in Streamlit,Partially Correct
When is the midterm exam?,The midterm is typically scheduled around week 7; see the course schedule in the syllabus.,The course does not include a midterm exam [CSE_434___CSE_534_Syllabus.pdf p.1].,"Midterm_Project_Check_Requirement.pdf, CSE_434___CSE_534_Syllabus.pdf, CSE_434___CSE_534_Syllabus.pdf, CSE_434___CSE_534_Syllabus.pdf","1-3, 1-2, 2-7, 2-7",True,True,0.579,0.222,0.048,0.5798,0.7358,0.815,0.7734,auto-labeled by reports/run_full_evaluation.py - review in Streamlit,Partially Correct
What is the late assignment policy?,"Late assignments are penalized per day up to a cap, after which they may not be accepted.","Late assignments are accepted up to three days after the due date with a penalty of 10% per day. Assignments submitted more than three days late will not be accepted unless accompanied by a valid, officially documented excuse supported by the university. Please note that no late submissions are permitted for course project–related deadlines. [CSE_434___CSE_534_Syllabus.pdf p.2-7]","CSE_434___CSE_534_Syllabus.pdf, CSE_434___CSE_534_Syllabus.pdf, CSE_434___CSE_534_Syllabus.pdf, CSE_434___CSE_534_Syllabus.pdf","2-7, 2-7, 2-7, 2-7",True,True,0.6946,0.17,0.194,0.7652,0.7171,0.861,0.7825,auto-labeled by reports/run_full_evaluation.py - review in Streamlit,Correct
Who is the instructor and what are their office hours?,"The syllabus lists the instructor's name, email, and weekly office hours.","The instructor is Dr. Yang Zhang, and office hours are available on Zoom or in person by appointment via email [CSE_434___CSE_534_Syllabus.pdf p.1].","CSE_434___CSE_534_Syllabus.pdf, CSE_434___CSE_534_Syllabus.pdf, CSE_434___CSE_534_Syllabus.pdf, CSE_434___CSE_534_Syllabus.pdf","1-2, 2-7, 1-2, 2-7",True,True,0.5844,0.318,0.088,0.641,0.6988,0.8375,0.7619,auto-labeled by reports/run_full_evaluation.py - review in Streamlit,Correct
What is the expected format for Assignment 1?,Assignment 1 must be submitted in the format described on the assignment handout (usually PDF).,Assignments include both code and analyses to be uploaded for grading. [CSE_434___CSE_534_Syllabus.pdf p.2],"CSE_434___CSE_534_Syllabus.pdf, CSE_434___CSE_534_Syllabus.pdf, CSE_434___CSE_534_Syllabus.pdf, CSE_434___CSE_534_Syllabus.pdf","2-7, 2-7, 2-7, 2-7",True,True,0.5679,0.045,0.06,0.6608,0.7016,0.7847,0.7408,auto-labeled by reports/run_full_evaluation.py - review in Streamlit,Correct
How many points is Assignment 1 worth?,Assignment 1's point value is listed at the top of the assignment PDF.,I could not find a supported answer in the uploaded documents.,"CSE_434___CSE_534_Syllabus.pdf, CSE_434___CSE_534_Syllabus.pdf, CSE_434___CSE_534_Syllabus.pdf, Midterm_Project_Check_Requirement.pdf","2-7, 2-7, 2-7, 3-4",True,False,0.5614,0.071,0.016,0.2074,0.7531,0.751,0.7521,auto-labeled by reports/run_full_evaluation.py - review in Streamlit,Unsupported
Are calculators allowed on the final exam?,The syllabus or exam policy document will specify which aids are allowed during exams.,The course does not include a final exam [CSE_434___CSE_534_Syllabus.pdf p.2].,"CSE_434___CSE_534_Syllabus.pdf, CSE_434___CSE_534_Syllabus.pdf, CSE_434___CSE_534_Syllabus.pdf, CSE_434___CSE_534_Syllabus.pdf","2-7, 1-2, 2-7, 2-7",True,True,0.5979,0.136,0.041,0.4372,0.7124,0.8122,0.759,auto-labeled by reports/run_full_evaluation.py - review in Streamlit,Partially Correct
How do I contact the teaching assistants?,TA names and contact information are listed in the syllabus or a separate staff page.,"You can contact the teaching assistant, Manish Bhandari, via email at bhandam4@miamioh.edu. [CSE_434___CSE_534_Syllabus.pdf p.2]","CSE_434___CSE_534_Syllabus.pdf, CSE_434___CSE_534_Syllabus.pdf, CSE_434___CSE_534_Syllabus.pdf, CSE_434___CSE_534_Syllabus.pdf","2-7, 1-2, 1-2, 2-7",True,True,0.5018,0.115,0.083,0.4388,0.674,0.7559,0.7126,auto-labeled by reports/run_full_evaluation.py - review in Streamlit,Partially Correct
What is the name Professor and TA?,"The instructor for the course is Dr. Ohio, and TA is Oxford",The Professor is Dr. Yang Zhang and the TA is Manish Bhandari [CSE_434___CSE_534_Syllabus.pdf p.1].,"CSE_434___CSE_534_Syllabus.pdf, Midterm_Project_Check_Requirement.pdf, CSE_434___CSE_534_Syllabus.pdf, Midterm_Project_Check_Requirement.pdf","1-2, 1-3, 2-7, 3-4",True,True,0.3581,0.118,0.039,0.4701,0.6841,0.8117,0.7424,auto-labeled by reports/run_full_evaluation.py - review in Streamlit,Partially Correct
How long is Final Project Presentation time?,The total Presentation time is 8  minutes for Final Presentation.,"The Final Project Presentation time is 8 minutes according to the Final Project Presentation Guideline [Final_Project_Presentation_Guideline.pdf p.1], while the Project Requirement document states the demo/presentation is 10–12 minutes [Project_Requirement.pdf p.1].","Final_Project_Presentation_Guideline.pdf, CSE_434___CSE_534_Syllabus.pdf, Project_Requirement.pdf, CSE_434___CSE_534_Syllabus.pdf","1-3, 2-7, 1-12, 2-7",True,True,0.7574,0.312,0.04,0.8238,0.695,0.8857,0.7788,auto-labeled by reports/run_full_evaluation.py - review in Streamlit,Correct
